# Z, sigma, counts
1.000000000000000056e-01 1.282107422000000042e+03 2.260934000000000221e+00
1.000000000000000056e-01 1.280970702999999958e+03 2.260523000000000060e+00
1.000000000000000056e-01 1.279833984000000100e+03 2.260111999999999899e+00
1.000000000000000056e-01 1.278695312999999942e+03 4.519401000000000224e+00
1.000000000000000056e-01 1.277558594000000085e+03 2.259288999999999881e+00
1.000000000000000056e-01 1.276419922000000042e+03 2.258878000000000164e+00
1.000000000000000056e-01 1.275283202999999958e+03 2.258465999999999863e+00
1.000000000000000056e-01 1.274144530999999915e+03 4.516110000000000291e+00
1.000000000000000056e-01 1.273005859000000100e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.271867187999999942e+03 2.257232000000000127e+00
1.000000000000000056e-01 1.270728515999999900e+03 4.513639999999999652e+00
1.000000000000000056e-01 1.269589844000000085e+03 4.512817000000000078e+00
1.000000000000000056e-01 1.268451172000000042e+03 -4.511993000000000364e+00
1.000000000000000056e-01 1.267310547000000042e+03 2.255584999999999951e+00
1.000000000000000056e-01 1.266171875000000000e+03 2.255173000000000094e+00
1.000000000000000056e-01 1.265031250000000000e+03 4.509521999999999586e+00
1.000000000000000056e-01 1.263892577999999958e+03 -2.254348999999999936e+00
1.000000000000000056e-01 1.262751952999999958e+03 -4.507874000000000159e+00
1.000000000000000056e-01 1.261611327999999958e+03 6.760576000000000363e+00
1.000000000000000056e-01 1.260470702999999958e+03 2.253112999999999921e+00
1.000000000000000056e-01 1.259330077999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.258189452999999958e+03 2.252289000000000208e+00
1.000000000000000056e-01 1.257046875000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.255906250000000000e+03 4.502928999999999959e+00
1.000000000000000056e-01 1.254763672000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.253623047000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.252480469000000085e+03 2.250227000000000199e+00
1.000000000000000056e-01 1.251337890999999900e+03 1.124907499999999949e+01
1.000000000000000056e-01 1.250195312999999942e+03 4.498804999999999943e+00
1.000000000000000056e-01 1.249052734000000100e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.247910155999999915e+03 4.497155000000000236e+00
1.000000000000000056e-01 1.246767577999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.245623047000000042e+03 2.247752000000000194e+00
1.000000000000000056e-01 1.244480469000000085e+03 6.742017999999999844e+00
1.000000000000000056e-01 1.243335937999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.242191405999999915e+03 6.739542000000000144e+00
1.000000000000000056e-01 1.241046875000000000e+03 -2.246100999999999903e+00
1.000000000000000056e-01 1.239904297000000042e+03 4.491375999999999813e+00
1.000000000000000056e-01 1.238757812999999942e+03 4.490550999999999959e+00
1.000000000000000056e-01 1.237613280999999915e+03 6.734587000000000323e+00
1.000000000000000056e-01 1.236468750000000000e+03 2.244448999999999916e+00
1.000000000000000056e-01 1.235324219000000085e+03 6.732109000000000343e+00
1.000000000000000056e-01 1.234177734000000100e+03 2.243622999999999923e+00
1.000000000000000056e-01 1.233033202999999958e+03 -6.729630000000000223e+00
1.000000000000000056e-01 1.231886719000000085e+03 6.728391000000000233e+00
1.000000000000000056e-01 1.230740234000000100e+03 -2.242383999999999933e+00
1.000000000000000056e-01 1.229593750000000000e+03 2.241970999999999936e+00
1.000000000000000056e-01 1.228447265999999900e+03 2.241556999999999800e+00
1.000000000000000056e-01 1.227300780999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.226154297000000042e+03 4.481461999999999612e+00
1.000000000000000056e-01 1.225005859000000100e+03 4.480635000000000367e+00
1.000000000000000056e-01 1.223859375000000000e+03 2.239904000000000117e+00
1.000000000000000056e-01 1.222710937999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.221564452999999958e+03 2.239076999999999984e+00
1.000000000000000056e-01 1.220416015999999900e+03 2.238662999999999847e+00
1.000000000000000056e-01 1.219267577999999958e+03 4.476499999999999702e+00
1.000000000000000056e-01 1.218119140999999900e+03 4.475672999999999568e+00
1.000000000000000056e-01 1.216970702999999958e+03 4.474846000000000323e+00
1.000000000000000056e-01 1.215822265999999900e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.214673827999999958e+03 2.236594999999999889e+00
1.000000000000000056e-01 1.213523437999999942e+03 2.236181999999999892e+00
1.000000000000000056e-01 1.212375000000000000e+03 2.235768000000000200e+00
1.000000000000000056e-01 1.211224609000000100e+03 6.706063000000000329e+00
1.000000000000000056e-01 1.210074219000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.208923827999999958e+03 6.703579999999999650e+00
1.000000000000000056e-01 1.207773437999999942e+03 2.234112999999999793e+00
1.000000000000000056e-01 1.206623047000000042e+03 4.467398000000000202e+00
1.000000000000000056e-01 1.205472655999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.204322265999999900e+03 4.465741999999999656e+00
1.000000000000000056e-01 1.203169922000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.202019530999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.200867187999999942e+03 4.463257999999999726e+00
1.000000000000000056e-01 1.199714844000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.198564452999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.197412109000000100e+03 2.230386999999999897e+00
1.000000000000000056e-01 1.196259765999999900e+03 2.229973000000000205e+00
1.000000000000000056e-01 1.195105469000000085e+03 2.229557999999999929e+00
1.000000000000000056e-01 1.193953125000000000e+03 4.458287999999999585e+00
1.000000000000000056e-01 1.192800780999999915e+03 2.228730000000000100e+00
1.000000000000000056e-01 1.191646484000000100e+03 -2.228315999999999963e+00
1.000000000000000056e-01 1.190494140999999900e+03 6.683703999999999645e+00
1.000000000000000056e-01 1.189339844000000085e+03 4.454973999999999990e+00
1.000000000000000056e-01 1.188185547000000042e+03 2.227072999999999858e+00
1.000000000000000056e-01 1.187031250000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.185876952999999958e+03 2.226243999999999890e+00
1.000000000000000056e-01 1.184722655999999915e+03 6.677488999999999564e+00
1.000000000000000056e-01 1.183566405999999915e+03 2.225414999999999921e+00
1.000000000000000056e-01 1.182412109000000100e+03 2.225000999999999785e+00
1.000000000000000056e-01 1.181257812999999942e+03 4.449171999999999905e+00
1.000000000000000056e-01 1.180101562999999942e+03 -2.224171999999999816e+00
1.000000000000000056e-01 1.178945312999999942e+03 2.223756999999999984e+00
1.000000000000000056e-01 1.177789062999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.176634765999999900e+03 2.222928000000000015e+00
1.000000000000000056e-01 1.175476562999999942e+03 -2.222513000000000183e+00
1.000000000000000056e-01 1.174320312999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.173164062999999942e+03 2.221684000000000214e+00
1.000000000000000056e-01 1.172007812999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.170849609000000100e+03 -2.220854999999999801e+00
1.000000000000000056e-01 1.169693359000000100e+03 4.440881000000000078e+00
1.000000000000000056e-01 1.168535155999999915e+03 2.220025999999999833e+00
1.000000000000000056e-01 1.167376952999999958e+03 2.219611000000000001e+00
1.000000000000000056e-01 1.166218750000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.165060547000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.163902344000000085e+03 4.436733000000000260e+00
1.000000000000000056e-01 1.162744140999999900e+03 2.217951999999999924e+00
1.000000000000000056e-01 1.161583984000000100e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.160425780999999915e+03 4.434244999999999770e+00
1.000000000000000056e-01 1.159265625000000000e+03 2.216706999999999983e+00
1.000000000000000056e-01 1.158105469000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.156947265999999900e+03 2.215878000000000014e+00
1.000000000000000056e-01 1.155787109000000100e+03 2.215463000000000182e+00
1.000000000000000056e-01 1.154626952999999958e+03 2.215047999999999906e+00
1.000000000000000056e-01 1.153464844000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.152304687999999942e+03 4.428435999999999595e+00
1.000000000000000056e-01 1.151144530999999915e+03 2.213802999999999965e+00
1.000000000000000056e-01 1.149982422000000042e+03 6.640164000000000399e+00
1.000000000000000056e-01 1.148822265999999900e+03 -2.212972999999999857e+00
1.000000000000000056e-01 1.147660155999999915e+03 2.212558000000000025e+00
1.000000000000000056e-01 1.146498047000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.145335937999999942e+03 4.423455999999999833e+00
1.000000000000000056e-01 1.144173827999999958e+03 2.211313000000000084e+00
1.000000000000000056e-01 1.143011719000000085e+03 2.210897999999999808e+00
1.000000000000000056e-01 1.141849609000000100e+03 2.210482999999999976e+00
1.000000000000000056e-01 1.140685547000000042e+03 4.420136000000000287e+00
1.000000000000000056e-01 1.139523437999999942e+03 2.209652999999999867e+00
1.000000000000000056e-01 1.138359375000000000e+03 2.209238000000000035e+00
1.000000000000000056e-01 1.137197265999999900e+03 2.208823000000000203e+00
1.000000000000000056e-01 1.136033202999999958e+03 4.416814999999999714e+00
1.000000000000000056e-01 1.134869140999999900e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.133705077999999958e+03 6.622733000000000203e+00
1.000000000000000056e-01 1.132541015999999900e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.131375000000000000e+03 4.413495000000000168e+00
1.000000000000000056e-01 1.130210937999999942e+03 4.412664000000000364e+00
1.000000000000000056e-01 1.129044922000000042e+03 6.617751000000000161e+00
1.000000000000000056e-01 1.127880859000000100e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.126714844000000085e+03 2.205086999999999797e+00
1.000000000000000056e-01 1.125548827999999958e+03 2.204670999999999825e+00
1.000000000000000056e-01 1.124382812999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.123216797000000042e+03 6.611523000000000039e+00
1.000000000000000056e-01 1.122050780999999915e+03 2.203425999999999885e+00
1.000000000000000056e-01 1.120884765999999900e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.119716797000000042e+03 4.405191000000000301e+00
1.000000000000000056e-01 1.118550780999999915e+03 -2.202179999999999804e+00
1.000000000000000056e-01 1.117382812999999942e+03 2.201764999999999972e+00
1.000000000000000056e-01 1.116214844000000085e+03 4.402700000000000280e+00
1.000000000000000056e-01 1.115048827999999958e+03 2.200934999999999864e+00
1.000000000000000056e-01 1.113880859000000100e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.112710937999999942e+03 6.600312999999999874e+00
1.000000000000000056e-01 1.111542969000000085e+03 4.399377999999999567e+00
1.000000000000000056e-01 1.110375000000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.109207030999999915e+03 4.397717000000000098e+00
1.000000000000000056e-01 1.108037109000000100e+03 6.595329999999999693e+00
1.000000000000000056e-01 1.106867187999999942e+03 -2.198027999999999871e+00
1.000000000000000056e-01 1.105699219000000085e+03 2.197613000000000039e+00
1.000000000000000056e-01 1.104529297000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.103359375000000000e+03 2.196781999999999790e+00
1.000000000000000056e-01 1.102189452999999958e+03 2.196366999999999958e+00
1.000000000000000056e-01 1.101017577999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.099847655999999915e+03 2.195536999999999850e+00
1.000000000000000056e-01 1.098677734000000100e+03 1.097560700000000011e+01
1.000000000000000056e-01 1.097505859000000100e+03 8.778824999999999434e+00
1.000000000000000056e-01 1.096333984000000100e+03 8.777164000000000854e+00
1.000000000000000056e-01 1.095164062999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.093992187999999942e+03 -2.193459999999999965e+00
1.000000000000000056e-01 1.092820312999999942e+03 2.193045000000000133e+00
1.000000000000000056e-01 1.091648437999999942e+03 2.192629999999999857e+00
1.000000000000000056e-01 1.090474609000000100e+03 4.384428999999999910e+00
1.000000000000000056e-01 1.089302734000000100e+03 -2.191799000000000053e+00
1.000000000000000056e-01 1.088130859000000100e+03 6.574151999999999774e+00
1.000000000000000056e-01 1.086957030999999915e+03 2.190968999999999944e+00
1.000000000000000056e-01 1.085783202999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.084611327999999958e+03 4.380277000000000420e+00
1.000000000000000056e-01 1.083437500000000000e+03 2.189722999999999864e+00
1.000000000000000056e-01 1.082263672000000042e+03 -2.189308000000000032e+00
1.000000000000000056e-01 1.081087890999999900e+03 6.566678999999999711e+00
1.000000000000000056e-01 1.079914062999999942e+03 4.376954999999999707e+00
1.000000000000000056e-01 1.078740234000000100e+03 2.188061999999999951e+00
1.000000000000000056e-01 1.077564452999999958e+03 2.187647000000000119e+00
1.000000000000000056e-01 1.076390625000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.075214844000000085e+03 4.373632999999999882e+00
1.000000000000000056e-01 1.074039062999999942e+03 4.372803000000000218e+00
1.000000000000000056e-01 1.072863280999999915e+03 8.743945999999999330e+00
1.000000000000000056e-01 1.071687500000000000e+03 6.556714000000000375e+00
1.000000000000000056e-01 1.070511719000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.069335937999999942e+03 2.184740999999999822e+00
1.000000000000000056e-01 1.068158202999999958e+03 2.184325999999999990e+00
1.000000000000000056e-01 1.066982422000000042e+03 -2.183911000000000158e+00
1.000000000000000056e-01 1.065804687999999942e+03 4.366990999999999623e+00
1.000000000000000056e-01 1.064626952999999958e+03 2.183079999999999909e+00
1.000000000000000056e-01 1.063451172000000042e+03 2.182665000000000077e+00
1.000000000000000056e-01 1.062273437999999942e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.061095702999999958e+03 4.363669999999999938e+00
1.000000000000000056e-01 1.059916015999999900e+03 2.181420000000000137e+00
1.000000000000000056e-01 1.058738280999999915e+03 2.181004999999999860e+00
1.000000000000000056e-01 1.057560547000000042e+03 4.361178999999999917e+00
1.000000000000000056e-01 1.056380859000000100e+03 -2.180175000000000196e+00
1.000000000000000056e-01 1.055201172000000042e+03 2.179759999999999920e+00
1.000000000000000056e-01 1.054023437999999942e+03 -2.179345000000000088e+00
1.000000000000000056e-01 1.052843750000000000e+03 -2.178929999999999811e+00
1.000000000000000056e-01 1.051664062999999942e+03 2.178513999999999839e+00
1.000000000000000056e-01 1.050484375000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.049302734000000100e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.048123047000000042e+03 -2.177268999999999899e+00
1.000000000000000056e-01 1.046943359000000100e+03 4.353709000000000273e+00
1.000000000000000056e-01 1.045761719000000085e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.044580077999999958e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.043398437999999942e+03 6.526829000000000214e+00
1.000000000000000056e-01 1.042218750000000000e+03 2.175194999999999990e+00
1.000000000000000056e-01 1.041035155999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.039853515999999900e+03 6.523094999999999644e+00
1.000000000000000056e-01 1.038671875000000000e+03 2.173950000000000049e+00
1.000000000000000056e-01 1.037490234000000100e+03 6.520605999999999902e+00
1.000000000000000056e-01 1.036306640999999900e+03 6.519360999999999962e+00
1.000000000000000056e-01 1.035123047000000042e+03 -2.172705000000000108e+00
1.000000000000000056e-01 1.033941405999999915e+03 4.344580999999999804e+00
1.000000000000000056e-01 1.032757812999999942e+03 -2.171876000000000140e+00
1.000000000000000056e-01 1.031574219000000085e+03 2.171460999999999864e+00
1.000000000000000056e-01 1.030390625000000000e+03 4.342093000000000202e+00
1.000000000000000056e-01 1.029207030999999915e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.028021484000000100e+03 -4.340432999999999986e+00
1.000000000000000056e-01 1.026837890999999900e+03 6.509406000000000247e+00
1.000000000000000056e-01 1.025652344000000085e+03 2.169386999999999954e+00
1.000000000000000056e-01 1.024468750000000000e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.023283202999999958e+03 2.168557999999999986e+00
1.000000000000000056e-01 1.022097656000000029e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.020912108999999987e+03 8.670913999999999788e+00
1.000000000000000056e-01 1.019726563000000056e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.018541016000000013e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.017353516000000013e+03 2.166485000000000216e+00
1.000000000000000056e-01 1.016167968999999971e+03 2.166069999999999940e+00
1.000000000000000056e-01 1.014980468999999971e+03 2.165655000000000108e+00
1.000000000000000056e-01 1.013792968999999971e+03 6.495722999999999914e+00
1.000000000000000056e-01 1.012607422000000042e+03 2.164826000000000139e+00
1.000000000000000056e-01 1.011419922000000042e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.010232422000000042e+03 4.327994999999999592e+00
1.000000000000000056e-01 1.009042968999999971e+03 2.163583000000000034e+00
1.000000000000000056e-01 1.007855468999999971e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.006667968999999971e+03 -4.325508000000000131e+00
1.000000000000000056e-01 1.005478516000000013e+03 4.324678999999999718e+00
1.000000000000000056e-01 1.004291016000000013e+03 4.323851000000000333e+00
1.000000000000000056e-01 1.003101563000000056e+03 2.161510999999999960e+00
1.000000000000000056e-01 1.001912108999999987e+03 0.000000000000000000e+00
1.000000000000000056e-01 1.000722656000000029e+03 2.160681999999999992e+00
1.000000000000000056e-01 9.995332029999999577e+02 2.160267999999999855e+00
1.000000000000000056e-01 9.983437500000000000e+02 2.159854000000000163e+00
1.000000000000000056e-01 9.971523439999999709e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.959628910000000133e+02 2.159025000000000194e+00
1.000000000000000056e-01 9.947714839999999867e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.935820310000000291e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.923906250000000000e+02 4.315565000000000317e+00
1.000000000000000056e-01 9.911992189999999709e+02 4.314737000000000045e+00
1.000000000000000056e-01 9.900078130000000556e+02 6.470862999999999587e+00
1.000000000000000056e-01 9.888164060000000291e+02 2.156540000000000123e+00
1.000000000000000056e-01 9.876230470000000423e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.864316410000000133e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.852382810000000291e+02 -2.155298000000000158e+00
1.000000000000000056e-01 9.840468750000000000e+02 4.309768000000000043e+00
1.000000000000000056e-01 9.828535160000000133e+02 2.154469999999999885e+00
1.000000000000000056e-01 9.816601560000000291e+02 4.308112000000000386e+00
1.000000000000000056e-01 9.804667970000000423e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.792734380000000556e+02 -4.306456999999999979e+00
1.000000000000000056e-01 9.780800779999999577e+02 8.611257999999999413e+00
1.000000000000000056e-01 9.768867189999999709e+02 2.152400999999999787e+00
1.000000000000000056e-01 9.756914060000000291e+02 2.151987000000000094e+00
1.000000000000000056e-01 9.744980470000000423e+02 -2.151572999999999958e+00
1.000000000000000056e-01 9.733027339999999867e+02 4.302318999999999782e+00
1.000000000000000056e-01 9.721074220000000423e+02 2.150745000000000129e+00
1.000000000000000056e-01 9.709121089999999867e+02 6.450994999999999813e+00
1.000000000000000056e-01 9.697167970000000423e+02 2.149917999999999996e+00
1.000000000000000056e-01 9.685214839999999867e+02 2.149503999999999859e+00
1.000000000000000056e-01 9.673261720000000423e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.661289060000000291e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.649335939999999709e+02 2.148264000000000173e+00
1.000000000000000056e-01 9.637363279999999577e+02 -4.295700000000000074e+00
1.000000000000000056e-01 9.625390630000000556e+02 -6.442308999999999841e+00
1.000000000000000056e-01 9.613417970000000423e+02 6.441068999999999711e+00
1.000000000000000056e-01 9.601445310000000291e+02 4.293218999999999674e+00
1.000000000000000056e-01 9.589472660000000133e+02 2.146196000000000215e+00
1.000000000000000056e-01 9.577500000000000000e+02 2.145783000000000218e+00
1.000000000000000056e-01 9.565527339999999867e+02 4.290739000000000303e+00
1.000000000000000056e-01 9.553535160000000133e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.541562500000000000e+02 2.144543000000000088e+00
1.000000000000000056e-01 9.529570310000000291e+02 6.432388000000000439e+00
1.000000000000000056e-01 9.517578130000000556e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.505585939999999709e+02 0.000000000000000000e+00
1.000000000000000056e-01 9.493593750000000000e+02 2.142889999999999961e+00
1.000000000000000056e-01 9.481601560000000291e+02 0.000000000000000000e+00
